H_ery_ID	peak_count	sig_peak_count	proportion_sig	SPU.hit	SPU.common_name	common_name	SPU.family	SPU.description	GRN	DE	PMC	sig_peak_count_ns	proportion_sig_ns
HER_14960.t1	3	0	0	SPU_012099	Sp-Ict1L	Ict1L	RF-1 superfamily	immature colon carcinoma transcript 1-like	FALSE	TRUE	FALSE	0	0
HER_14961.t1	2	0	0	SPU_012095	Sp-Aqp8	Aqp8	none	Aquaporin 8	FALSE	TRUE	FALSE	0	0
HER_14963.t1	5	1	0.2	SPU_012099	Sp-Ict1L	Ict1L	RF-1 superfamily	immature colon carcinoma transcript 1-like	FALSE	TRUE	FALSE	0	0
HER_39983.t1	1	1	1	SPU_009742	Sp-Rbm21L	Rbm21L	none	RNA binding motif protein 21	FALSE	TRUE	FALSE	0	0
HER_14965.t1	2	0	0	SPU_012098	Sp-Map2k4	Map2k4	MAP2K	MKK4	FALSE	TRUE	FALSE	0	0
HER_14967.t1	2	0	0	SPU_017082	Sp-Nhp2l1	Nhp2l1	ribsosmal protein L7Ae/L30e/S12e/GADD45	NHP2 non-histone chromosome protein 2-like 1	FALSE	FALSE	FALSE	0	0
HER_14969.t1.1.5f2c6c5f	2	0	0	SPU_024450	Sp-Slc26a11_1	Slc26a11_1	none	anion exchanger  	FALSE	TRUE	TRUE	0	0
HER_14981.t1.1.5f2d753e	7	0	0	SPU_019370	Sp-Srcr152	Srcr152	SRCR	none	FALSE	TRUE	FALSE	0	0
HER_14985.t1	8	0	0	SPU_022424	Sp-Srcr192	Srcr192	SRCR	none	FALSE	FALSE	FALSE	0	0
HER_14986.t1	6	2	0.333333333333333	SPU_022425	Sp-Desi1L	Desi1L	PPPDE putative peptidase domain	desumoylating isopeptidase 1-like, Pppde2-like	FALSE	TRUE	FALSE	0	0
HER_14991.t1	1	0	0	SPU_014499	Sp-Gpr52L_7	Gpr52L_7	7TM GPCR_1 superfamily	G protein-coupled receptor 52-like-7	FALSE	FALSE	FALSE	0	0
HER_39986.t2	2	0	0	SPU_001334	Sp-Tmem194	Tmem194	DUF2215 superfamily	transmembrane protein 194	FALSE	FALSE	FALSE	0	0
HER_14994.t1	1	0	0	SPU_000990	Sp-Atol1	Atol1	bHLH	atonal-like 1,  NeuroD-like	FALSE	TRUE	FALSE	0	0
HER_15098.t1	4	2	0.5	SPU_024344	Sp-Ftsj2	Ftsj2	none	FtsJ homolog 2	FALSE	FALSE	FALSE	0	0
HER_39992.t1	4	0	0	SPU_001335	Sp-AtripL	AtripL	none	ATR interacting protein-like	FALSE	FALSE	FALSE	0	0
HER_15101.t1	1	1	1	SPU_028062	Sp-EhH3_57	EhH3_57	none	none	FALSE	TRUE	FALSE	0	0
HER_15102.t1	1	1	1	SPU_024347	Sp-Dnmt3A	Dnmt3A	none	DNA cytosine methyltransferase 3 alpha	FALSE	TRUE	FALSE	0	0
HER_15104.t1	2	0	0	SPU_024348	Sp-Srp68	Srp68	SRP/SR	signal recognition particle 68 kDa protein	FALSE	FALSE	FALSE	0	0
HER_15133.t1	4	0	0	SPU_012787	none	NA	none	none	FALSE	FALSE	FALSE	1	0.25
HER_15134.t2	6	2	0.333333333333333	SPU_012788	Sp-Qrich2L	Qrich2L	none	glutamine rich 2-like	FALSE	TRUE	FALSE	0	0
HER_15135.t1	1	0	0	SPU_003516	 Sp-Usp31L	Usp31L	peptidase C19	ubiquitin specific peptidase 31-like, Sp-Usp31, Sp-Usp31_1, Sp-Usp43L	FALSE	TRUE	FALSE	0	0
HER_15138.t1	3	0	0	SPU_021713	Sp-Gtpbp1_1	Gtpbp1_1	Ras-like_GTPase superfamily	GTP binding protein 1-1	FALSE	FALSE	FALSE	0	0
HER_15139.t1	4	0	0	SPU_002530	Sp-Telo2	Telo2	Telomere_reg-2 superfamily	TEL2, telomere maintenance 2, homolog (S. cerevisiae)	FALSE	TRUE	FALSE	0	0
HER_40000.t1	4	0	0	SPU_006689	Sp-Rnbn1L	Rnbn1L	none	round spermatid basic protein 1-like	FALSE	TRUE	FALSE	0	0
HER_40001.t1	2	1	0.5	SPU_008133	Sp-Porcupine	Porcupine	none	porcupine homolog	FALSE	TRUE	FALSE	0	0
HER_15162.t1	4	0	0	SPU_003554	Sp-Hypp_3090	Hypp_3090	none	hypothetical protein-3090	FALSE	FALSE	FALSE	0	0
HER_15172.t1	2	0	0	SPU_003552	Sp-Zzef1	Zzef1	APC10, zinc finger ZZ-type	zinc finger ZZ-type and EF-hand domain-containing 1, Sp-Kiaa0399L	FALSE	FALSE	FALSE	0	0
HER_15174.t1	4	1	0.25	SPU_015647	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_15175.t1	1	0	0	SPU_015648	none	NA	none	none	FALSE	FALSE	FALSE	0	0
HER_15176.t1	1	1	1	SPU_020010	Sp-Top3A	Top3A	none	topoisomerase (DNA) III alpha	FALSE	TRUE	FALSE	0	0
HER_15177.t1	4	1	0.25	SPU_004130	Sp-Tmf1	Tmf1	none	TATA element modulatory factor 1	FALSE	TRUE	FALSE	0	0
HER_37597.t1	5	0	0	SPU_028169	Sp-RasO	RasO	Ras family	Ras family orphan	FALSE	TRUE	FALSE	1	0.2
HER_15178.t1	6	0	0	SPU_006526	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_15186.t1	2	0	0	SPU_004131	Sp-Cox6b1	Cox6b1	none	Cytochrome c oxidase subunit VIb (COX VIb-1)	FALSE	FALSE	FALSE	0	0
HER_15188.t1	3	2	0.666666666666667	SPU_005501	Sp-Crispld2L	Crispld2L	SCP superfamily, HX superfamily	cysteine-rich secretory protein LCCL domain like	FALSE	TRUE	FALSE	1	0.333333333333333
HER_15189.t1	1	0	0	SPU_011377	Sp-Hypp_1977	Hypp_1977	none	hyyp-1977	FALSE	FALSE	FALSE	0	0
HER_15201.t1	1	0	0	SPU_019125	Sp-Ttc30b	Ttc30b	TPR superfamily	tetratricopeptide repeat domain 30B	FALSE	TRUE	FALSE	0	0
HER_15244.t1	1	0	0	SPU_011426	Sp-ExonepL	ExonepL	REX1-like superfamily	exonuclease NEF-sp-like	FALSE	TRUE	FALSE	0	0
HER_15254.t1	8	2	0.25	SPU_026078	Sp-Act_5	Act_5	actin superfamily	actin 5 [Aedes aegypti]	FALSE	FALSE	FALSE	0	0
HER_15260.t3	17	0	0	SPU_026076	Sp-A2bp1	A2bp1	none	ataxin 2-binding protein 1 isoform 4	FALSE	TRUE	FALSE	1	0.0588235294117647
HER_40003.t1	3	0	0	SPU_018544	Sp-Mfsd4	Mfsd4	MFS superfamily	major facilitator superfamily domain containing 4	FALSE	TRUE	FALSE	0	0
HER_15267.t1	1	0	0	SPU_003332	Sp-Acy1l2L_3	Acy1l2L_3	metalloprotease	aminoacylase 1	FALSE	TRUE	FALSE	1	1
HER_15268.t1	1	0	0	SPU_007939	Sp-Acy1l2L_4	Acy1l2L_4	metalloprotease	aminoacylase 1	FALSE	FALSE	FALSE	0	0
HER_15269.t1	1	0	0	SPU_007942	Sp-Epn2	Epn2	none	epsin 2	FALSE	TRUE	FALSE	0	0
HER_15272.t1	3	0	0	SPU_001065	Sp-Daglb-2	Daglb	lipase superfamily	diacylglycerol lipase, beta-2	FALSE	FALSE	FALSE	0	0
HER_15274.t1	1	0	0	SPU_026895	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_15275.t1	2	0	0	SPU_010189	Sp-En_IV	En_IV	AP2Ec superfamily	endonuclease IV (bacterial)	FALSE	TRUE	FALSE	0	0
HER_15296.t1	1	0	0	SPU_014739	Sp-Hypp_763	Hypp_763	none	hypothetical protein-763	FALSE	TRUE	FALSE	0	0
HER_40004.t1	5	2	0.4	SPU_002650	Sp-Aldh1l1	Aldh1l1	none	10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (Aldehyde dehydrogenase 1 family member L1)	FALSE	TRUE	TRUE	0	0
HER_15297.t1	7	0	0	SPU_012834	Sp-Kcnj4	Kcnj4	none	Inward rectifier potassium channel 4 (Potassium channel, inwardly rectifying subfamily J member 4) (Inward rectifier K(+) channel Kir2.3) (Hippocampal inward rectifier) (HIR) (HRK1) (HIRK2)	FALSE	TRUE	FALSE	0	0
HER_15300.t1	5	0	0	SPU_024884	Sp-Kcnj12_1	Kcnj12_1	none	potassium inwardly-rectifying channel kir2.2, subfamily J, member 12 	FALSE	TRUE	FALSE	1	0.2
HER_40005.t1	2	0	0	SPU_002642	Sp-Pm20d1	Pm20d1	peptidase_M20 superfamily	peptidase M20 domain containing 1	FALSE	FALSE	FALSE	0	0
HER_15363.t1	1	0	0	SPU_007935	Sp-Gde1	Gde1	UgpQ superfamily	glycophosphodiester phosphodiesterase 1; membrane interacting protein of RG16	FALSE	TRUE	FALSE	0	0
HER_15364.t1_HER_15367.t1	3	0	0	SPU_000084	Sp-Tbcd	Tbcd	none	Tubulin-folding cofactor D, Tubulin-specific chaperone D	FALSE	FALSE	FALSE	0	0
HER_15368.t1	1	0	0	SPU_026999	Sp-Lyrm1	Lyrm1	complex1_LYR superfamily	LYR motif containing 1	FALSE	TRUE	FALSE	0	0
HER_15371.t1	4	0	0	SPU_025335	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_15373.t1	2	0	0	SPU_019225	Sp-Spata20	Spata20	SSP411 superfamily	spermatogenesis associated 20	FALSE	FALSE	FALSE	0	0
HER_15374.t1	1	0	0	SPU_021946	Sp-Mth1	Mth1	none	7,8-dihydro-8-oxoguanine triphosphatase (EC 3.1.6.-) (8-oxo-dGTPase) (Nucleoside diphosphate-linked moiety X motif 1) (Nudix motif 1)	FALSE	TRUE	FALSE	0	0
HER_15375.t1	1	0	0	SPU_021944	Sp-Kiaa1095L	Kiaa1095L	RING-finger superfamily	KIAA1095 protein-like; PDZ domain containing ring finger 3-like; TNF receptor-associated factor 6-like	FALSE	TRUE	FALSE	0	0
HER_15378.t1	6	0	0	SPU_022515	Sp-Dcun1d3	Dcun1d3	DUF298 superfamily	DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae)	FALSE	TRUE	FALSE	0	0
HER_40006.t1.4.5f2c6878	1	0	0	SPU_002649	Sp-Pfkfb1	Pfkfb1	none	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 (6PF-2-K/Fru-2,6-P2ASE liver isozyme) [Includes: 6-phosphofructo-2-kinase ; Fructose-2,6-bisphosphatase ]	FALSE	TRUE	FALSE	0	0
HER_15379.t1	2	0	0	SPU_022514	Sp-Hypp_186	Hypp_186	PLAT superfamily, ankyrin superfamily	hypothetical protein-186	FALSE	TRUE	FALSE	0	0
HER_15380.t1	3	0	0	SPU_022513	Sp-Dhx40_1	Dhx40_1	P_loop_NTPase superfamily	DEAH (Asp-Glu-Ala-His) box polypeptide 40-1	FALSE	FALSE	FALSE	0	0
HER_15391.t1	2	0	0	SPU_003125	Sp-Sstr1L	Sstr1L	7TM GPCR_1 superfamily	somatostatin receptor 1-like	FALSE	FALSE	FALSE	0	0
HER_40006.t2	3	0	0	SPU_002649	Sp-Pfkfb1	Pfkfb1	none	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 (6PF-2-K/Fru-2,6-P2ASE liver isozyme) [Includes: 6-phosphofructo-2-kinase ; Fructose-2,6-bisphosphatase ]	FALSE	TRUE	FALSE	0	0
HER_15395.t1	4	1	0.25	SPU_012727	Sp-Tst_1	Tst_1	RHOD superfamily	thiosulfate sulfurtransferase, mitochondrial-1; rhodanese	FALSE	TRUE	FALSE	0	0
HER_15396.t1	1	0	0	SPU_012726	Sp-Tst	Tst	RHOD superfamily	thiosulfate sulfurtransferase, mitochondrial; rhodanese	FALSE	FALSE	FALSE	0	0
HER_40006.t1.1.5f2c6878	1	0	0	SPU_002649	Sp-Pfkfb1	Pfkfb1	none	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 (6PF-2-K/Fru-2,6-P2ASE liver isozyme) [Includes: 6-phosphofructo-2-kinase ; Fructose-2,6-bisphosphatase ]	FALSE	TRUE	FALSE	0	0
HER_15414.t1	1	0	0	SPU_004634	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_15419.t1	1	0	0	SPU_012096	Sp-Ecsit	Ecsit	evolutionarily conserved signaling intermediate in Toll pathway	Sp-Sitpec	FALSE	FALSE	FALSE	0	0
HER_40008.t1	3	0	0	SPU_002648	Sp-Appl1	Appl1	PH-like superfamily	adaptor protein containing PH domain, PTB domain, phosphotyrosine interaction, and leucine zipper motif isoform 1	FALSE	TRUE	FALSE	0	0
HER_15420.t1	1	0	0	SPU_012097	Sp-Sgsh_1	Sgsh_1	none	N-sulphoglucosamine sulphohydrolase precursor (Sulfoglucosamine sulfamidase) (Sulphamidase)	FALSE	TRUE	FALSE	0	0
HER_15423.t1	1	0	0	SPU_021626	Sp-Hypp_1027	Hypp_1027	RING-finger superfamily, BBOX superfamily	hypothetical protein-1027	FALSE	TRUE	FALSE	0	0
HER_15452.t1	1	1	1	SPU_003503	Sp-Hypp_1459	Hypp_1459	none	hypothetical protein-1459; unc-13 homolog C (C. elegans)-like	FALSE	FALSE	FALSE	0	0
HER_15456.t1	1	1	1	SPU_010688	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_15467.t1	1	0	0	SPU_005109	Sp-Hypp_1566	Hypp_1566	none	hypothetical protein-1566	FALSE	TRUE	FALSE	0	0
HER_40009.t1	2	0	0	SPU_002648	Sp-Appl1	Appl1	PH-like superfamily	adaptor protein containing PH domain, PTB domain, phosphotyrosine interaction, and leucine zipper motif isoform 1	FALSE	TRUE	FALSE	0	0
HER_15484.t1	2	0	0	SPU_007268	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_40010.t1	2	0	0	SPU_002643	Sp-Renbp	Renbp	AGE superfamily	renin binding protein; N-acylglucosamine 2-epimerase (bacterial)	FALSE	TRUE	FALSE	0	0
HER_15486.t1	5	1	0.2	SPU_010687	Sp-Dhcr7	Dhcr7	none	7-dehydrocholesterol reductase (7-DHC reductase) (Sterol delta-7-reductase) (Putative sterol reductase SR-2)	FALSE	TRUE	FALSE	0	0
HER_15491.t1	1	1	1	SPU_016199	Sp-Hypp_817	Hypp_817	P_loop_NTPase superfamily	hypothetical protein-817	FALSE	TRUE	FALSE	1	1
HER_40012.t1	1	0	0	SPU_002644	Sp-Apex2	Apex2	none	DNA-(apurinic or apyrimidinic site) lyase 2 (Apurinic-apyrimidinic	FALSE	TRUE	FALSE	0	0
HER_15512.t1	3	0	0	SPU_006411	Sp-Hypp_1662	Hypp_1662	none	hypothetical protein-1662	FALSE	TRUE	FALSE	1	0.333333333333333
HER_40013.t1.2.5f2c6878	2	0	0	SPU_002646	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_15513.t1	2	0	0	SPU_006410	Sp-Pan2	Pan2	none	Possible adaptor for NLRs	FALSE	TRUE	FALSE	0	0
HER_15522.t1	1	0	0	SPU_027790	Sp-Hypp_275	Hypp_275	CIDE_N superfamily	hypothetical protein-275	FALSE	FALSE	FALSE	0	0
HER_40013.t1	2	0	0	SPU_002646	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_15541.t1	1	1	1	SPU_028449	none	NA	none	none	FALSE	FALSE	FALSE	0	0
HER_15568.t1	1	0	0	SPU_011488	Sp-Unc13dL_1	Unc13dL_1	Membrane_transfer_MHD superfamily	unc-13 homolog D (C. elegans)-like-1	FALSE	TRUE	FALSE	0	0
HER_15569.t1	1	1	1	SPU_007254	Sp-Ccdc40	Ccdc40	C2 superfamily	coiled-coil domain containing 40	FALSE	TRUE	FALSE	0	0
HER_15570.t1	3	3	1	SPU_027547	Sp-Tbc1d16	Tbc1d16	TBC superfamily	TBC1 domain family, member 16	FALSE	TRUE	FALSE	1	0.333333333333333
HER_15571.t1	2	1	0.5	SPU_030167	Sp-Mafs	Mafs	basic zipper, Maf-type	small Maf protein, maf-S homolog	FALSE	TRUE	FALSE	0	0
HER_15572.t1	2	1	0.5	SPU_023609	Sp-Pla2g6	Pla2g6	none	phospholipase A2, group VI 	FALSE	TRUE	FALSE	0	0
HER_15576.t1	2	0	0	SPU_025028	Sp-Rrp7a	Rrp7a	RRM superfamily	ribosomal RNA processing 7 homolog A (S. cerevisiae)	FALSE	TRUE	FALSE	0	0
HER_15596.t1	8	0	0	SPU_001739	Sp-Unc4.1_1	Unc4.1_1	homeobox-PRD	UNC homeobox (duplicate), Uncx, Uncx4.1, Sp-Unc4-1	TRUE	TRUE	FALSE	0	0
HER_15597.t1	16	0	0	SPU_001739	Sp-Unc4.1_1	Unc4.1_1	homeobox-PRD	UNC homeobox (duplicate), Uncx, Uncx4.1, Sp-Unc4-1	TRUE	TRUE	FALSE	0	0
HER_15619.t1	1	0	0	SPU_010088	Sp-Hypp_1897	Hypp_1897	MFS superfamily	hypothetical protein-1897; solute carrier family 16 (monocarboxylic acid transporters)-like	FALSE	TRUE	FALSE	0	0
HER_15620.t1	1	0	0	SPU_010088	Sp-Hypp_1897	Hypp_1897	MFS superfamily	hypothetical protein-1897; solute carrier family 16 (monocarboxylic acid transporters)-like	FALSE	TRUE	FALSE	0	0
HER_15621.t1	1	0	0	SPU_025031	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_15626.t1	1	0	0	SPU_028135	Sp-H1-0	H1	histone H1	none	FALSE	TRUE	FALSE	0	0
HER_15627.t1	4	0	0	SPU_028136	Sp-Hypp_2935	Hypp_2935	ZnF_TTF superfamily	hypothetical protein-2935	FALSE	TRUE	FALSE	0	0
HER_15628.t1	2	0	0	SPU_028138	Sp-Hypp_2936	Hypp_2936	PH-like superfamily	hypothetical protein-2936	FALSE	TRUE	TRUE	0	0
HER_15629.t1	3	1	0.333333333333333	SPU_028137	Sp-F8a1L	F8a1L	none	coagulation factor VIII-associated (intronic transcript) 1 (or 2 or 3) like	FALSE	FALSE	FALSE	0	0
HER_15632.t1	5	1	0.2	SPU_025030	Sp-Grid2ipL	Grid2ipL	PDZ superfamily, FH2 superfamily	glutamate receptor, ionotropic, delta 2 (Grid2) interacting protein-like; GluR-delta2 philic-protein-like; delphilin (glutamate receptor, ionotropic, delta 2-interacting protein 1)-like	FALSE	TRUE	FALSE	0	0
HER_40016.t1	2	0	0	SPU_024991	none	NA	none	none	FALSE	TRUE	TRUE	0	0
HER_15643.t1	1	0	0	SPU_000026	Sp-Adsl	Adsl	none	adenylosuccinate lyase, Asl	FALSE	TRUE	FALSE	0	0
HER_40018.t1	2	0	0	SPU_024990	Sp-Dnajb9	Dnajb9	DnaJ superfamily	DnaJ (Hsp40) homolog, subfamily B, member 9	FALSE	TRUE	FALSE	0	0
HER_40019.t1	1	0	0	SPU_024992	Sp-Chrm3_1	Chrm3_1	7TM GPCR_1 superfamily	cholinergic receptor, muscarinic 3-1	FALSE	TRUE	FALSE	0	0
HER_15663.t1	4	0	0	SPU_022315	Sp-NotchL_92	NotchL_92	CUB superfamily, EGF_CA superfamily	notch-like-92	FALSE	TRUE	FALSE	0	0
HER_40020.t1	1	0	0	SPU_024989	Sp-Rdh8_9	Rdh8_9	none	retinol dehydrogenase 8 (all-trans) (photoreceptor outer segment all-trans retinol dehydrogenase)	FALSE	TRUE	FALSE	0	0
HER_15667.t1	2	0	0	SPU_020869	Sp-Poldip3	Poldip3	RRM superfamily	polymerase (DNA-directed), delta interacting protein 3	FALSE	TRUE	FALSE	0	0
HER_15668.t1	2	0	0	SPU_020870	Sp-Gps1	Gps1	PCI superfamily	G protein pathway suppressor 1	FALSE	TRUE	FALSE	0	0
HER_15671.t1	1	0	0	SPU_012655	Sp-Egfi	Egfi	EGF_CA superfamily, avidin superfamily	fibropellin	FALSE	TRUE	FALSE	1	1
HER_15674.t1	13	0	0	SPU_002029	Sp-Unk_14	Unk_14	none	none	FALSE	TRUE	FALSE	0	0
HER_40022.t2	5	0	0	SPU_021547	Sp-Sfmbt2	Sfmbt2	MBT superfamily, SAM superfamily	Scm-like with four mbt domains 2	FALSE	TRUE	FALSE	2	0.4
HER_15675.t1	1	0	0	SPU_002030	Sp-Slc25a10	Slc25a10	none	Mitochondrial dicarboxylate carrier	FALSE	FALSE	FALSE	0	0
HER_15676.t2	3	0	0	SPU_028393	Sp-NotchL_96	NotchL_96	CUB superfamily, EGF_CA superfamily, avidin superfamily	notch-like-96	FALSE	TRUE	FALSE	0	0
HER_15677.t2	2	0	0	SPU_028390	Sp-Tmprss2L_2	Tmprss2L_2	Tryp_SPc superfamily, LDLa superfamily, CUB superfamily	transmembrane protease, serine 2-like-2	FALSE	TRUE	FALSE	0	0
HER_15678.t1	3	0	0	SPU_004492	Sp-Irsp53	Irsp53	none	Insulin receptor substrate p53/p58-like, brain-specific angiogenesis inhibitor 1-associated protein 2-like, Baiap2/2L1/2L2, FLAF3-like, Sp-Irsp53/58	FALSE	TRUE	FALSE	0	0
HER_15679.t1	1	0	0	SPU_025467	none	NA	none	none	FALSE	FALSE	FALSE	0	0
HER_15690.t1	1	0	0	SPU_004493	Sp-Gcnt2	Gcnt2	none	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase (N-acetylglucosaminyltransferase) (I-branching enzyme) (IGNT)	FALSE	FALSE	FALSE	0	0
HER_15687.t1	1	1	1	SPU_004493	Sp-Gcnt2	Gcnt2	none	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase (N-acetylglucosaminyltransferase) (I-branching enzyme) (IGNT)	FALSE	FALSE	FALSE	0	0
HER_15688.t1	3	2	0.666666666666667	SPU_016268	Sp-Hid1_1	Hid1_1	Hid1 superfamily	HID1 domain containing (duplicate), Sp-C17orf28	FALSE	FALSE	FALSE	0	0
HER_15694.t1	2	0	0	SPU_016812	Sp-Sstr4	Sstr4	7TM GPCR_1 superfamily	somatostatin receptor 4	FALSE	FALSE	FALSE	1	0.5
HER_15696.t1	1	0	0	SPU_016814	Sp-Gpr151L_10	Gpr151L_10	7TM GPCR_1 superfamily	G protein-coupled receptor 151-like-10	FALSE	FALSE	FALSE	0	0
HER_15699.t1	3	0	0	SPU_027336	Sp-Ras/Dva	Ras/Dva	Ras oncogene superfamily	Ras with dorsal-ventral anterior localization 	FALSE	TRUE	FALSE	0	0
HER_40024.t1	3	0	0	SPU_021548	Sp-Bctg1	Bctg1	BTG	BTG1	FALSE	TRUE	FALSE	1	0.333333333333333
HER_15746.t1	1	0	0	SPU_010685	Sp-Thoc4	Thoc4	none	THO complex 4	FALSE	TRUE	FALSE	0	0
HER_15747.t1	1	0	0	SPU_023529	Sp-Luc7l2L	Luc7l2L	none	LUC7-like 2 (S. cerevisiae)	FALSE	TRUE	FALSE	0	0
HER_15747.t1.1.5f2c6c67	4	0	0	SPU_023529	Sp-Luc7l2L	Luc7l2L	none	LUC7-like 2 (S. cerevisiae)	FALSE	TRUE	FALSE	0	0
HER_15748.t1.1.5f2c6c4e	6	0	0	SPU_007045	Sp-Gbxf	Gbxf	none	globin X fragment	FALSE	FALSE	FALSE	1	0.166666666666667
HER_15748.t1	6	1	0.166666666666667	SPU_007045	Sp-Gbxf	Gbxf	none	globin X fragment	FALSE	FALSE	FALSE	0	0
HER_40025.t1	1	0	0	SPU_021864	Sp-Ndnl2	Ndnl2	MAGE superfamily	necdin-like 2; melanoma-associated antigen G1	FALSE	TRUE	FALSE	0	0
HER_15750.t1	2	0	0	SPU_007046	Sp-Z162	Z162	zf-C2H2	zinc finger protein 162	FALSE	FALSE	FALSE	0	0
HER_15752.t1	1	0	0	SPU_027718	none	NA	none	none	FALSE	FALSE	FALSE	0	0
HER_15753.t1	2	0	0	SPU_027717	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_15754.t1	3	0	0	SPU_014312	Sp-Pmm2	Pmm2	none	Phosphomannomutase 2 (PMM 2)	FALSE	TRUE	FALSE	0	0
HER_15755.t1	1	0	0	SPU_018962	Sp-Pmm1	Pmm1	none	Phosphomannomutase 1 (PMM 1) (PMMH-22)	FALSE	FALSE	FALSE	1	1
HER_15756.t1	1	0	0	SPU_002853	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_15760.t1	4	1	0.25	SPU_002852	Sp-Atf4L	Atf4L	none	activating transcription factor 4-like	FALSE	TRUE	FALSE	0	0
HER_40027.t1	3	0	0	SPU_011849	none	NA	none	none	FALSE	FALSE	FALSE	0	0
HER_15761.t1.2.5f2c6c4e	2	0	0	SPU_003461	Sp-Unk	Unk	none	unkempt homolog (Drosophila)	FALSE	TRUE	FALSE	0	0
HER_15761.t1	1	0	0	SPU_003461	Sp-Unk	Unk	none	unkempt homolog (Drosophila)	FALSE	TRUE	FALSE	0	0
HER_15762.t1	1	0	0	SPU_003462	Sp-TrafA	TrafA	TNF receptor associated factor	none	FALSE	TRUE	FALSE	0	0
HER_40028.t1	4	0	0	SPU_011848	Sp-Dnajc2	Dnajc2	DnaJ domain, SANT domain	DnaJ (Hsp40) homolog, subfamily C, member 2	FALSE	FALSE	FALSE	0	0
HER_15764.t1	2	0	0	SPU_004540	Sp-Hsp70bp	Hsp70bp	none	heat shock 70kD protein binding protein - ST13 like	FALSE	TRUE	FALSE	0	0
HER_15765.t1	1	0	0	SPU_017942	Sp-Wbp11	Wbp11	none	WW domain binding protein 11	FALSE	FALSE	FALSE	0	0
HER_15767.t1_HER_15773.t1.1.5f2d7543	3	0	0	SPU_011334	Sp-Pdxdc1	Pdxdc1	AAT_I superfamily	pyridoxal-dependent decarboxylase domain containing 1	FALSE	TRUE	FALSE	0	0
HER_15769.t1	3	2	0.666666666666667	SPU_013452	Sp-Rpsa	Rpsa	RPS2 superfamily	ribosomal protein SA	FALSE	TRUE	FALSE	0	0
HER_15772.t1	1	1	1	SPU_010751	Sp-Hypp_1939	Hypp_1939	none	hypothetical protein-1939	FALSE	TRUE	FALSE	0	0
HER_15792.t1	2	0	0	SPU_026568	Sp-Hypp_2853	Hypp_2853	none	hypothetical protein-2853	FALSE	TRUE	FALSE	0	0
HER_15793.t1	4	0	0	SPU_026569	Sp-Notch1-21	Notch1	CUB superfamily, EGF_CA superfamily	notch 1 homolog-21	FALSE	TRUE	FALSE	0	0
HER_15795.t1	4	0	0	SPU_028003	Sp-Miro1	Miro1	Ras oncogene	Mitochondrial Rho, Sp-RhoT1	FALSE	FALSE	FALSE	1	0.25
HER_15796.t1	3	0	0	SPU_028005	none	NA	none	none	FALSE	FALSE	FALSE	0	0
HER_15798.t2	1	0	0	SPU_006772	Sp-Clcn7	Clcn7	none	Chloride channel protein 7 (ClC-7)	FALSE	TRUE	FALSE	0	0
HER_15799.t1	2	0	0	SPU_006773	Sp-Eif3d	Eif3d	none	translation initiation factor eIF3d, subunit 7 , zeta , p66, 	FALSE	TRUE	FALSE	0	0
HER_40029.t1	8	0	0	SPU_021551	Sp-Hypp_2560	Hypp_2560	none	hypothetical protein-2560	FALSE	TRUE	FALSE	0	0
HER_15803.t2	4	0	0	SPU_022827	Sp-Rint1	Rint1	RINT1_TIP1 superfamily	RAD50 interactor 1	FALSE	TRUE	FALSE	0	0
HER_15804.t1	1	0	0	SPU_021585	Sp-Snx29	Snx29	RUN superfamily, PX superfamily	sorting nexin 29	FALSE	FALSE	FALSE	0	0
HER_15806.t1	3	0	0	SPU_021586	Sp-Mpg	Mpg	none	DNA-3-methyladenine glycosylase (EC 3.2.2.21) (3-methyladenine DNA glycosidase) (ADPG) (3-alkyladenine DNA glycosylase) (N-methylpurine- DNA glycosirase)	FALSE	TRUE	FALSE	0	0
HER_15811.t1	3	0	0	SPU_004095	Sp-Ankrd40	Ankrd40	ankyrin superfamily	ankyrin repeat domain 40	FALSE	FALSE	FALSE	0	0
HER_15812.t1	2	0	0	SPU_005059	none	NA	none	none	FALSE	FALSE	FALSE	0	0
